	Neo.1	Neo.2	Neo.3	Week4.1	Week4.2	Week4.3	Year1.1	Year1.2	Month18.1	Month18.2
Tnfaip8l2	0	1.92012494735673	1.10120996178984	4.85777257752074	9.37088168074681	5.06679380800971	0.46070324452228	0	0	0.0712905388172621
Tnfaip8l3	1.02371678588042	0	0	0	0	0	0.511101073608448	1.21159829105599	0	0
Tnfrsf10b	9.54530579911053	6.40982886838203	1.36031818809334	5.36715537976716	3.78333838206839	17.2742896738762	5.90784160622689	5.50570063784171	5.88244306472893	5.53550066110506
Tnfrsf11a	2.81359902726889	0.151933423129407	0.0615072469697434	1.36056828784109	3.60781444139339	2.13823676034287	0.679330877406688	0.344512998022974	0.0309660967878934	0.75655700244245
Tnfrsf11b	5.21965519668041	3.42435342035474	0.986516873150626	10.4696114046548	7.25560525841455	7.63517700117266	2.49466392789722	2.29878710323577	1.03472146514904	2.27077315977198
Tnfrsf12a	36.3659048452234	38.0458332509546	29.6771601612215	75.6764144952153	64.4481164790321	96.1809166395494	58.2794855860259	69.9229292920038	116.915819656906	125.328323983511
Tnfrsf13b	0	0	11.7672150202686	0	0.0517300331896577	0.0526383578943231	0	0	0	0
Tnfrsf13c	0.0405102503883175	0.0235482269907994	0	0	0.223910164645685	1.03564450211811	0.0542401931116472	0.021110132947014	0.877099257208607	2.53896803014405
Tnfrsf14	30.7812578471304	6.93599445569538	0.0494143967816432	39.7611724682187	32.975723844583	48.1437612656085	30.3315047195403	31.5399097177	26.6442283589322	23.3335610034134
Tnfrsf17	0.0475446657882594	0.0552745328133788	0	0	0	1.84752857141405	0	0	0	0
Tnfrsf18	1.03512338901867	0	4.16292984207617	1.45118641094366	5.77917451225073	12.7022055296132	2.25858965000754	2.31746075176416	0.193038403759683	0
Tnfrsf19	1.37388856299169	7.57287712778682	14.0593216931512	2.05870943676765	0.942121182227385	0	0.216415758992673	0.47167911874241	0.594115390361233	0.535820704562482
Tnfrsf1a	241.257828077233	233.62028810624	236.996078847893	221.323117680385	224.23349073452	267.667881854045	271.239323820093	274.855165251678	229.85789498081	261.009516183977
Tnfrsf1b	23.9511310307273	14.0230578443419	15.592218559322	68.4283078047874	49.5610149040746	38.586819856789	51.0841785860393	49.8915498503109	51.4442198852672	44.1700390987589
Tnfrsf21	48.5399830774638	60.2069845600306	52.4024005901235	30.1065636657713	22.3305114313601	20.2184426247431	12.0507568150187	11.9287388035809	11.9550184739873	8.34954554696592
Tnfrsf22	4.88729906047437	1.53884299352447	3.74352609710744	4.80893954597223	0.88680056896556	3.40124774086395	2.13579999091322	2.79440629306698	1.40131456281776	3.39289692719183
Tnfrsf23	4.11585591601663	15.4376930745549	8.37073701002581	5.31629035583245	4.3442136270052	8.00626601981105	5.41846284111398	3.1632760979185	2.23449712978547	3.15616675201557
Tnfrsf25	2.06927976839033	2.5472177769848	2.4115679757776	2.8226112589163	6.0754926000465	15.4969206570124	3.33197629795536	7.44248109077619	2.08384094627137	3.13142661544725
Tnfrsf26	1.40056332246127	1.2362779619906	2.59396535339311	2.0961830347947	1.02956146002258	0	3.64631839013569	2.04085418977102	1.99809337626188	0.900099926948078
Tnfrsf4	5.38147986825171	2.72017700875537	0	0	0	0.649434285709181	1.8199971983604	1.04508865966257	0.302944944289871	1.24656599303327
Tnfrsf8	0	0	0	0	0	0	0	0	0	0
Tnfrsf9	0	0	0	0	1.58963294245571	0	0.403410927486236	0	0.0350093962334085	0.0180072004846844
Tnfsf10	0.45290525484706	2.4965216782418	0.0714030037637659	8.18834915221162	5.81492029634956	13.2154857880923	2.38380382687523	5.04576583862165	2.4849165265848	6.41489398771275
